FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,2014,2015,2016,2017,2018,2019,2020,2022
A,Annual,HRV,Croatia,BS_SGI_10,Sustainable Governance Indicators: Real GDP Growth Rate,IX_0T10,Score 0-10,BS_SGI,Sustainable Governance Indicators (SGI),0,Units,A,Normal value,PU,Public,3.1450964630225084,3.152331189710611,5.235932475884244,5.959405144694532,5.872588424437298,5.503617363344051,5.923231511254019,10.0
A,Annual,HUN,Hungary,BS_SGI_10,Sustainable Governance Indicators: Real GDP Growth Rate,IX_0T10,Score 0-10,BS_SGI,Sustainable Governance Indicators (SGI),0,Units,A,Normal value,PU,Public,4.751205787781351,6.465836012861736,6.169212218649518,5.069533762057877,6.494774919614147,7.283360128617363,6.697347266881028,8.556672025723472
A,Annual,IRL,Ireland,BS_SGI_10,Sustainable Governance Indicators: Real GDP Growth Rate,IX_0T10,Score 0-10,BS_SGI,Sustainable Governance Indicators (SGI),0,Units,A,Normal value,PU,Public,4.324356913183279,9.706993569131832,10.0,4.881430868167202,9.873392282958198,9.938504823151124,6.965032154340835,10.0
A,Annual,ISL,Iceland,BS_SGI_10,Sustainable Governance Indicators: Real GDP Growth Rate,IX_0T10,Score 0-10,BS_SGI,Sustainable Governance Indicators (SGI),0,Units,A,Normal value,PU,Public,6.697347266881028,4.6282154340836,6.617765273311897,7.963424437299033,6.444131832797427,6.943327974276526,5.156350482315112,6.55265273311897
A,Annual,ISR,Israel,BS_SGI_10,Sustainable Governance Indicators: Real GDP Growth Rate,IX_0T10,Score 0-10,BS_SGI,Sustainable Governance Indicators (SGI),0,Units,A,Normal value,PU,Public,6.863745980707394,6.393488745980707,5.055064308681671,6.632234726688102,6.574356913183279,6.284967845659164,6.133038585209002,9.33078778135048
A,Annual,ITA,Italy,BS_SGI_10,Sustainable Governance Indicators: Real GDP Growth Rate,IX_0T10,Score 0-10,BS_SGI,Sustainable Governance Indicators (SGI),0,Units,A,Normal value,PU,Public,2.07435691318328,3.398311897106109,3.969855305466238,4.338826366559486,4.613745980707395,4.078376205787782,3.767282958199357,8.209405144694532
A,Annual,JPN,Japan,BS_SGI_10,Sustainable Governance Indicators: Real GDP Growth Rate,IX_0T10,Score 0-10,BS_SGI,Sustainable Governance Indicators (SGI),0,Units,A,Normal value,PU,Public,4.859726688102894,3.622588424437299,4.534163987138264,3.9481511254019295,4.620980707395498,3.82516077170418,3.231913183279743,4.577572347266881
A,Annual,KOR,"Korea, Rep.",BS_SGI_10,Sustainable Governance Indicators: Real GDP Growth Rate,IX_0T10,Score 0-10,BS_SGI,Sustainable Governance Indicators (SGI),0,Units,A,Normal value,PU,Public,5.698954983922829,5.720659163987138,5.438504823151125,5.539790996784566,5.691720257234726,5.510852090032154,5.02612540192926,6.313906752411575
A,Annual,LTU,Lithuania,BS_SGI_10,Sustainable Governance Indicators: Real GDP Growth Rate,IX_0T10,Score 0-10,BS_SGI,Sustainable Governance Indicators (SGI),0,Units,A,Normal value,PU,Public,5.973874598070739,5.966639871382636,4.866961414790996,5.228697749196141,6.50200964630225,6.292202572347266,6.711816720257234,6.979501607717041
A,Annual,LUX,Luxembourg,BS_SGI_10,Sustainable Governance Indicators: Real GDP Growth Rate,IX_0T10,Score 0-10,BS_SGI,Sustainable Governance Indicators (SGI),0,Units,A,Normal value,PU,Public,5.698954983922829,5.30104501607717,5.047829581993568,7.008440514469453,4.360530546623794,4.85249196141479,5.77853697749196,8.390273311897104
A,Annual,LVA,Latvia,BS_SGI_10,Sustainable Governance Indicators: Real GDP Growth Rate,IX_0T10,Score 0-10,BS_SGI,Sustainable Governance Indicators (SGI),0,Units,A,Normal value,PU,Public,4.859726688102894,4.780144694533762,6.219855305466238,5.120176848874598,5.80024115755627,6.292202572347266,5.19975884244373,6.784163987138263
A,Annual,MEX,Mexico,BS_SGI_10,Sustainable Governance Indicators: Real GDP Growth Rate,IX_0T10,Score 0-10,BS_SGI,Sustainable Governance Indicators (SGI),0,Units,A,Normal value,PU,Public,4.382234726688103,5.467443729903536,5.785771704180064,5.308279742765273,4.932073954983922,4.997186495176848,3.268086816720257,6.8782154340836
A,Annual,MLT,Malta,BS_SGI_10,Sustainable Governance Indicators: Real GDP Growth Rate,IX_0T10,Score 0-10,BS_SGI,Sustainable Governance Indicators (SGI),0,Units,A,Normal value,PU,Public,7.362942122186495,8.92564308681672,10.0,5.85088424437299,10.0,7.768086816720256,7.645096463022508,10.0
A,Annual,NLD,Netherlands,BS_SGI_10,Sustainable Governance Indicators: Real GDP Growth Rate,IX_0T10,Score 0-10,BS_SGI,Sustainable Governance Indicators (SGI),0,Units,A,Normal value,PU,Public,3.311495176848875,4.432877813504823,4.82355305466238,4.989951768488745,5.510852090032154,5.112942122186494,4.82355305466238,7.051848874598071
A,Annual,NOR,Norway,BS_SGI_10,Sustainable Governance Indicators: Real GDP Growth Rate,IX_0T10,Score 0-10,BS_SGI,Sustainable Governance Indicators (SGI),0,Units,A,Normal value,PU,Public,4.15072347266881,4.830787781350482,4.830787781350482,4.179662379421222,5.084003215434084,4.215836012861736,3.9481511254019295,6.241559485530546
A,Annual,NZL,New Zealand,BS_SGI_10,Sustainable Governance Indicators: Real GDP Growth Rate,IX_0T10,Score 0-10,BS_SGI,Sustainable Governance Indicators (SGI),0,Units,A,Normal value,PU,Public,5.055064308681671,6.1258038585209,6.067926045016076,6.270498392282957,5.944935691318328,5.887057877813504,5.481913183279743,7.478697749196141
A,Annual,POL,Poland,BS_SGI_10,Sustainable Governance Indicators: Real GDP Growth Rate,IX_0T10,Score 0-10,BS_SGI,Sustainable Governance Indicators (SGI),0,Units,A,Normal value,PU,Public,4.223070739549839,5.85088424437299,6.473070739549839,5.677250803858521,6.899919614147909,7.276125401929259,6.842041800643087,7.507636655948552
A,Annual,PRT,Portugal,BS_SGI_10,Sustainable Governance Indicators: Real GDP Growth Rate,IX_0T10,Score 0-10,BS_SGI,Sustainable Governance Indicators (SGI),0,Units,A,Normal value,PU,Public,2.7399517684887464,3.977090032154341,4.70056270096463,4.866961414790996,5.944935691318328,5.467443729903536,5.344453376205787,6.936093247588424
A,Annual,ROU,Romania,BS_SGI_10,Sustainable Governance Indicators: Real GDP Growth Rate,IX_0T10,Score 0-10,BS_SGI,Sustainable Governance Indicators (SGI),0,Units,A,Normal value,PU,Public,6.133038585209002,6.017282958199356,5.539790996784566,6.805868167202572,8.701366559485528,6.646704180064308,6.436897106109325,7.659565916398714
A,Annual,SVK,Slovak Republic,BS_SGI_10,Sustainable Governance Indicators: Real GDP Growth Rate,IX_0T10,Score 0-10,BS_SGI,Sustainable Governance Indicators (SGI),0,Units,A,Normal value,PU,Public,3.890273311897106,5.315514469453376,6.892684887459807,4.917604501607716,5.561495176848875,6.147508038585209,5.293810289389067,5.590434083601285
A,Annual,SVN,Slovenia,BS_SGI_10,Sustainable Governance Indicators: Real GDP Growth Rate,IX_0T10,Score 0-10,BS_SGI,Sustainable Governance Indicators (SGI),0,Units,A,Normal value,PU,Public,2.660369774919614,5.409565916398713,5.004421221864951,5.713424437299034,6.892684887459807,6.603295819935691,5.756832797427652,9.28014469453376
A,Annual,SWE,Sweden,BS_SGI_10,Sustainable Governance Indicators: Real GDP Growth Rate,IX_0T10,Score 0-10,BS_SGI,Sustainable Governance Indicators (SGI),0,Units,A,Normal value,PU,Public,4.266479099678456,5.329983922829582,6.653938906752411,4.903135048231512,5.264871382636656,4.816318327974276,4.845257234726688,6.8782154340836
A,Annual,TUR,Turkiye,BS_SGI_10,Sustainable Governance Indicators: Real GDP Growth Rate,IX_0T10,Score 0-10,BS_SGI,Sustainable Governance Indicators (SGI),0,Units,A,Normal value,PU,Public,9.547829581993568,6.979501607717041,7.80426045016077,5.807475884244373,8.83159163987138,5.561495176848875,4.04943729903537,10.0
A,Annual,USA,United States,BS_SGI_10,Sustainable Governance Indicators: Real GDP Growth Rate,IX_0T10,Score 0-10,BS_SGI,Sustainable Governance Indicators (SGI),0,Units,A,Normal value,PU,Public,4.736736334405144,5.062299035369774,5.366157556270096,4.613745980707395,5.040594855305466,5.518086816720257,5.062299035369774,7.514871382636654
