FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,TYPE,TYPE_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,2019,2021,2024
A,Annual,AUT,Austria,WEF_TTDI_TTDI_D_13,"Cultural Resources, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_VAL,Type: Value,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,2.3616105524206947,2.518216346035046,2.6484362881580648
A,Annual,AZE,Azerbaijan,WEF_TTDI_TTDI_D_13,"Cultural Resources, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_RNK,Type: Rank,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,43.0,33.0,35.0
A,Annual,AZE,Azerbaijan,WEF_TTDI_TTDI_D_13,"Cultural Resources, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_SCR,Type: Score,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,2.0052279865949347,2.2937494692715346,2.4829896232164232
A,Annual,AZE,Azerbaijan,WEF_TTDI_TTDI_D_13,"Cultural Resources, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_VAL,Type: Value,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,2.0052279865949347,2.2937494692715346,2.4829896232164232
A,Annual,BEL,Belgium,WEF_TTDI_TTDI_D_13,"Cultural Resources, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_RNK,Type: Rank,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,21.0,20.0,22.0
A,Annual,BEL,Belgium,WEF_TTDI_TTDI_D_13,"Cultural Resources, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_SCR,Type: Score,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,2.8825254032833763,3.062995876571335,3.1593735184544443
A,Annual,BEL,Belgium,WEF_TTDI_TTDI_D_13,"Cultural Resources, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_VAL,Type: Value,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,2.8825254032833763,3.062995876571335,3.1593735184544443
A,Annual,BEN,Benin,WEF_TTDI_TTDI_D_13,"Cultural Resources, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_RNK,Type: Rank,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,102.0,104.0,92.0
A,Annual,BEN,Benin,WEF_TTDI_TTDI_D_13,"Cultural Resources, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_SCR,Type: Score,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,1.2500243161158695,1.2510449952102904,1.4447082834944076
A,Annual,BEN,Benin,WEF_TTDI_TTDI_D_13,"Cultural Resources, 1-7 (best)",IX_1T7,Score 1-7,WEF_TTDI_VAL,Type: Value,WEF_TTDI,Travel & Tourism Development Index (TTDI),0,Units,A,Normal value,PU,Public,1.2500243161158695,1.2510449952102904,1.4447082834944076
